,previous_state,current_state
1,"[[1, 3, 5], [2, 6, 4], [7, 8, 0]]","[[1, 3, 5], [2, 6, 0], [7, 8, 4]]"
2,"[[1, 3, 5], [2, 6, 4], [7, 8, 0]]","[[1, 3, 5], [2, 6, 4], [7, 0, 8]]"
3,"[[1, 3, 5], [2, 6, 0], [7, 8, 4]]","[[1, 3, 0], [2, 6, 5], [7, 8, 4]]"
4,"[[1, 3, 5], [2, 6, 0], [7, 8, 4]]","[[1, 3, 5], [2, 0, 6], [7, 8, 4]]"
5,"[[1, 3, 5], [2, 6, 4], [7, 0, 8]]","[[1, 3, 5], [2, 0, 4], [7, 6, 8]]"
6,"[[1, 3, 5], [2, 6, 4], [7, 0, 8]]","[[1, 3, 5], [2, 6, 4], [0, 7, 8]]"
7,"[[1, 3, 0], [2, 6, 5], [7, 8, 4]]","[[1, 0, 3], [2, 6, 5], [7, 8, 4]]"
8,"[[1, 3, 5], [2, 0, 6], [7, 8, 4]]","[[1, 3, 5], [0, 2, 6], [7, 8, 4]]"
9,"[[1, 3, 5], [2, 0, 6], [7, 8, 4]]","[[1, 0, 5], [2, 3, 6], [7, 8, 4]]"
10,"[[1, 3, 5], [2, 0, 6], [7, 8, 4]]","[[1, 3, 5], [2, 8, 6], [7, 0, 4]]"
11,"[[1, 3, 5], [2, 0, 4], [7, 6, 8]]","[[1, 3, 5], [0, 2, 4], [7, 6, 8]]"
12,"[[1, 3, 5], [2, 0, 4], [7, 6, 8]]","[[1, 3, 5], [2, 4, 0], [7, 6, 8]]"
13,"[[1, 3, 5], [2, 0, 4], [7, 6, 8]]","[[1, 0, 5], [2, 3, 4], [7, 6, 8]]"
14,"[[1, 3, 5], [2, 6, 4], [0, 7, 8]]","[[1, 3, 5], [0, 6, 4], [2, 7, 8]]"
15,"[[1, 0, 3], [2, 6, 5], [7, 8, 4]]","[[0, 1, 3], [2, 6, 5], [7, 8, 4]]"
16,"[[1, 3, 5], [0, 2, 6], [7, 8, 4]]","[[0, 3, 5], [1, 2, 6], [7, 8, 4]]"
17,"[[1, 3, 5], [0, 2, 6], [7, 8, 4]]","[[1, 3, 5], [7, 2, 6], [0, 8, 4]]"
18,"[[1, 0, 3], [2, 6, 5], [7, 8, 4]]","[[1, 6, 3], [2, 0, 5], [7, 8, 4]]"
19,"[[1, 3, 5], [2, 8, 6], [7, 0, 4]]","[[1, 3, 5], [2, 8, 6], [7, 4, 0]]"
20,"[[1, 0, 5], [2, 3, 6], [7, 8, 4]]","[[1, 5, 0], [2, 3, 6], [7, 8, 4]]"
21,"[[1, 0, 5], [2, 3, 6], [7, 8, 4]]","[[0, 1, 5], [2, 3, 6], [7, 8, 4]]"
22,"[[1, 3, 5], [2, 4, 0], [7, 6, 8]]","[[1, 3, 0], [2, 4, 5], [7, 6, 8]]"
23,"[[1, 3, 5], [2, 8, 6], [7, 0, 4]]","[[1, 3, 5], [2, 8, 6], [0, 7, 4]]"
24,"[[1, 3, 5], [0, 2, 4], [7, 6, 8]]","[[0, 3, 5], [1, 2, 4], [7, 6, 8]]"
25,"[[1, 3, 5], [2, 4, 0], [7, 6, 8]]","[[1, 3, 5], [2, 4, 8], [7, 6, 0]]"
26,"[[1, 3, 5], [0, 2, 4], [7, 6, 8]]","[[1, 3, 5], [7, 2, 4], [0, 6, 8]]"
27,"[[1, 0, 5], [2, 3, 4], [7, 6, 8]]","[[1, 5, 0], [2, 3, 4], [7, 6, 8]]"
28,"[[1, 6, 3], [2, 0, 5], [7, 8, 4]]","[[1, 6, 3], [0, 2, 5], [7, 8, 4]]"
29,"[[1, 6, 3], [2, 0, 5], [7, 8, 4]]","[[1, 6, 3], [2, 5, 0], [7, 8, 4]]"
30,"[[0, 1, 3], [2, 6, 5], [7, 8, 4]]","[[2, 1, 3], [0, 6, 5], [7, 8, 4]]"
31,"[[1, 0, 5], [2, 3, 4], [7, 6, 8]]","[[0, 1, 5], [2, 3, 4], [7, 6, 8]]"
32,"[[1, 3, 5], [0, 6, 4], [2, 7, 8]]","[[0, 3, 5], [1, 6, 4], [2, 7, 8]]"
