,previous_state,current_state
1,"[[2, 6, 4], [0, 8, 1], [7, 5, 3]]","[[0, 6, 4], [2, 8, 1], [7, 5, 3]]"
2,"[[2, 6, 4], [0, 8, 1], [7, 5, 3]]","[[2, 6, 4], [7, 8, 1], [0, 5, 3]]"
3,"[[2, 6, 4], [0, 8, 1], [7, 5, 3]]","[[2, 6, 4], [8, 0, 1], [7, 5, 3]]"
4,"[[2, 6, 4], [8, 0, 1], [7, 5, 3]]","[[2, 0, 4], [8, 6, 1], [7, 5, 3]]"
5,"[[2, 6, 4], [8, 0, 1], [7, 5, 3]]","[[2, 6, 4], [8, 1, 0], [7, 5, 3]]"
6,"[[2, 6, 4], [8, 0, 1], [7, 5, 3]]","[[2, 6, 4], [8, 5, 1], [7, 0, 3]]"
7,"[[2, 6, 4], [7, 8, 1], [0, 5, 3]]","[[2, 6, 4], [7, 8, 1], [5, 0, 3]]"
8,"[[0, 6, 4], [2, 8, 1], [7, 5, 3]]","[[6, 0, 4], [2, 8, 1], [7, 5, 3]]"
9,"[[2, 0, 4], [8, 6, 1], [7, 5, 3]]","[[0, 2, 4], [8, 6, 1], [7, 5, 3]]"
10,"[[2, 0, 4], [8, 6, 1], [7, 5, 3]]","[[2, 4, 0], [8, 6, 1], [7, 5, 3]]"
11,"[[2, 6, 4], [8, 1, 0], [7, 5, 3]]","[[2, 6, 0], [8, 1, 4], [7, 5, 3]]"
12,"[[2, 6, 4], [8, 1, 0], [7, 5, 3]]","[[2, 6, 4], [8, 1, 3], [7, 5, 0]]"
13,"[[2, 6, 4], [8, 5, 1], [7, 0, 3]]","[[2, 6, 4], [8, 5, 1], [0, 7, 3]]"
14,"[[2, 6, 4], [8, 5, 1], [7, 0, 3]]","[[2, 6, 4], [8, 5, 1], [7, 3, 0]]"
15,"[[2, 6, 4], [7, 8, 1], [5, 0, 3]]","[[2, 6, 4], [7, 0, 1], [5, 8, 3]]"
16,"[[6, 0, 4], [2, 8, 1], [7, 5, 3]]","[[6, 4, 0], [2, 8, 1], [7, 5, 3]]"
17,"[[2, 6, 4], [7, 8, 1], [5, 0, 3]]","[[2, 6, 4], [7, 8, 1], [5, 3, 0]]"
18,"[[6, 0, 4], [2, 8, 1], [7, 5, 3]]","[[6, 8, 4], [2, 0, 1], [7, 5, 3]]"
19,"[[2, 6, 0], [8, 1, 4], [7, 5, 3]]","[[2, 0, 6], [8, 1, 4], [7, 5, 3]]"
20,"[[2, 4, 0], [8, 6, 1], [7, 5, 3]]","[[2, 4, 1], [8, 6, 0], [7, 5, 3]]"
21,"[[2, 6, 4], [8, 1, 3], [7, 5, 0]]","[[2, 6, 4], [8, 1, 3], [7, 0, 5]]"
22,"[[0, 2, 4], [8, 6, 1], [7, 5, 3]]","[[8, 2, 4], [0, 6, 1], [7, 5, 3]]"
23,"[[2, 6, 4], [8, 5, 1], [0, 7, 3]]","[[2, 6, 4], [0, 5, 1], [8, 7, 3]]"
24,"[[2, 6, 4], [7, 0, 1], [5, 8, 3]]","[[2, 0, 4], [7, 6, 1], [5, 8, 3]]"
25,"[[2, 6, 4], [7, 0, 1], [5, 8, 3]]","[[2, 6, 4], [7, 1, 0], [5, 8, 3]]"
26,"[[2, 6, 4], [8, 5, 1], [7, 3, 0]]","[[2, 6, 4], [8, 5, 0], [7, 3, 1]]"
27,"[[6, 4, 0], [2, 8, 1], [7, 5, 3]]","[[6, 4, 1], [2, 8, 0], [7, 5, 3]]"
28,"[[2, 6, 4], [7, 0, 1], [5, 8, 3]]","[[2, 6, 4], [0, 7, 1], [5, 8, 3]]"
29,"[[6, 8, 4], [2, 0, 1], [7, 5, 3]]","[[6, 8, 4], [0, 2, 1], [7, 5, 3]]"
30,"[[6, 8, 4], [2, 0, 1], [7, 5, 3]]","[[6, 8, 4], [2, 1, 0], [7, 5, 3]]"
31,"[[6, 8, 4], [2, 0, 1], [7, 5, 3]]","[[6, 8, 4], [2, 5, 1], [7, 0, 3]]"
32,"[[2, 0, 6], [8, 1, 4], [7, 5, 3]]","[[0, 2, 6], [8, 1, 4], [7, 5, 3]]"
33,"[[2, 0, 6], [8, 1, 4], [7, 5, 3]]","[[2, 1, 6], [8, 0, 4], [7, 5, 3]]"
34,"[[2, 4, 1], [8, 6, 0], [7, 5, 3]]","[[2, 4, 1], [8, 0, 6], [7, 5, 3]]"
35,"[[2, 4, 1], [8, 6, 0], [7, 5, 3]]","[[2, 4, 1], [8, 6, 3], [7, 5, 0]]"
36,"[[2, 6, 4], [7, 8, 1], [5, 3, 0]]","[[2, 6, 4], [7, 8, 0], [5, 3, 1]]"
37,"[[2, 6, 4], [8, 1, 3], [7, 0, 5]]","[[2, 6, 4], [8, 0, 3], [7, 1, 5]]"
38,"[[2, 6, 4], [8, 1, 3], [7, 0, 5]]","[[2, 6, 4], [8, 1, 3], [0, 7, 5]]"
39,"[[8, 2, 4], [0, 6, 1], [7, 5, 3]]","[[8, 2, 4], [6, 0, 1], [7, 5, 3]]"
40,"[[8, 2, 4], [0, 6, 1], [7, 5, 3]]","[[8, 2, 4], [7, 6, 1], [0, 5, 3]]"
41,"[[2, 0, 4], [7, 6, 1], [5, 8, 3]]","[[0, 2, 4], [7, 6, 1], [5, 8, 3]]"
42,"[[2, 6, 4], [0, 5, 1], [8, 7, 3]]","[[0, 6, 4], [2, 5, 1], [8, 7, 3]]"
43,"[[2, 0, 4], [7, 6, 1], [5, 8, 3]]","[[2, 4, 0], [7, 6, 1], [5, 8, 3]]"
44,"[[2, 6, 4], [7, 1, 0], [5, 8, 3]]","[[2, 6, 0], [7, 1, 4], [5, 8, 3]]"
45,"[[2, 6, 4], [0, 5, 1], [8, 7, 3]]","[[2, 6, 4], [5, 0, 1], [8, 7, 3]]"
46,"[[2, 6, 4], [7, 1, 0], [5, 8, 3]]","[[2, 6, 4], [7, 1, 3], [5, 8, 0]]"
47,"[[6, 4, 1], [2, 8, 0], [7, 5, 3]]","[[6, 4, 1], [2, 8, 3], [7, 5, 0]]"
48,"[[2, 4, 1], [8, 0, 6], [7, 5, 3]]","[[2, 0, 1], [8, 4, 6], [7, 5, 3]]"
49,"[[2, 1, 6], [8, 0, 4], [7, 5, 3]]","[[2, 1, 6], [0, 8, 4], [7, 5, 3]]"
50,"[[2, 1, 6], [8, 0, 4], [7, 5, 3]]","[[2, 1, 6], [8, 4, 0], [7, 5, 3]]"
51,"[[2, 1, 6], [8, 0, 4], [7, 5, 3]]","[[2, 1, 6], [8, 5, 4], [7, 0, 3]]"
52,"[[2, 4, 1], [8, 0, 6], [7, 5, 3]]","[[2, 4, 1], [0, 8, 6], [7, 5, 3]]"
53,"[[2, 4, 1], [8, 0, 6], [7, 5, 3]]","[[2, 4, 1], [8, 5, 6], [7, 0, 3]]"
54,"[[2, 6, 4], [8, 5, 0], [7, 3, 1]]","[[2, 6, 0], [8, 5, 4], [7, 3, 1]]"
55,"[[6, 4, 1], [2, 8, 0], [7, 5, 3]]","[[6, 4, 1], [2, 0, 8], [7, 5, 3]]"
56,"[[2, 4, 1], [8, 6, 3], [7, 5, 0]]","[[2, 4, 1], [8, 6, 3], [7, 0, 5]]"
57,"[[2, 6, 4], [0, 7, 1], [5, 8, 3]]","[[2, 6, 4], [5, 7, 1], [0, 8, 3]]"
58,"[[2, 6, 4], [8, 5, 0], [7, 3, 1]]","[[2, 6, 4], [8, 0, 5], [7, 3, 1]]"
