,previous_state,current_state
1,"[[1, 3, 2], [0, 5, 4], [6, 7, 8]]","[[1, 3, 2], [6, 5, 4], [0, 7, 8]]"
2,"[[1, 3, 2], [0, 5, 4], [6, 7, 8]]","[[0, 3, 2], [1, 5, 4], [6, 7, 8]]"
3,"[[1, 3, 2], [0, 5, 4], [6, 7, 8]]","[[1, 3, 2], [5, 0, 4], [6, 7, 8]]"
4,"[[1, 3, 2], [6, 5, 4], [0, 7, 8]]","[[1, 3, 2], [6, 5, 4], [7, 0, 8]]"
5,"[[1, 3, 2], [5, 0, 4], [6, 7, 8]]","[[1, 3, 2], [5, 4, 0], [6, 7, 8]]"
6,"[[1, 3, 2], [5, 0, 4], [6, 7, 8]]","[[1, 0, 2], [5, 3, 4], [6, 7, 8]]"
7,"[[1, 3, 2], [5, 0, 4], [6, 7, 8]]","[[1, 3, 2], [5, 7, 4], [6, 0, 8]]"
8,"[[0, 3, 2], [1, 5, 4], [6, 7, 8]]","[[3, 0, 2], [1, 5, 4], [6, 7, 8]]"
9,"[[1, 3, 2], [6, 5, 4], [7, 0, 8]]","[[1, 3, 2], [6, 5, 4], [7, 8, 0]]"
10,"[[1, 3, 2], [6, 5, 4], [7, 0, 8]]","[[1, 3, 2], [6, 0, 4], [7, 5, 8]]"
11,"[[1, 3, 2], [5, 4, 0], [6, 7, 8]]","[[1, 3, 0], [5, 4, 2], [6, 7, 8]]"
12,"[[1, 3, 2], [5, 4, 0], [6, 7, 8]]","[[1, 3, 2], [5, 4, 8], [6, 7, 0]]"
13,"[[1, 3, 2], [6, 5, 4], [7, 8, 0]]","[[1, 3, 2], [6, 5, 0], [7, 8, 4]]"
14,"[[1, 0, 2], [5, 3, 4], [6, 7, 8]]","[[1, 2, 0], [5, 3, 4], [6, 7, 8]]"
15,"[[1, 3, 2], [6, 0, 4], [7, 5, 8]]","[[1, 3, 2], [0, 6, 4], [7, 5, 8]]"
16,"[[1, 3, 2], [5, 7, 4], [6, 0, 8]]","[[1, 3, 2], [5, 7, 4], [0, 6, 8]]"
17,"[[1, 3, 2], [5, 7, 4], [6, 0, 8]]","[[1, 3, 2], [5, 7, 4], [6, 8, 0]]"
18,"[[1, 3, 2], [6, 0, 4], [7, 5, 8]]","[[1, 3, 2], [6, 4, 0], [7, 5, 8]]"
19,"[[3, 0, 2], [1, 5, 4], [6, 7, 8]]","[[3, 2, 0], [1, 5, 4], [6, 7, 8]]"
20,"[[1, 0, 2], [5, 3, 4], [6, 7, 8]]","[[0, 1, 2], [5, 3, 4], [6, 7, 8]]"
21,"[[1, 3, 2], [6, 0, 4], [7, 5, 8]]","[[1, 0, 2], [6, 3, 4], [7, 5, 8]]"
22,"[[3, 0, 2], [1, 5, 4], [6, 7, 8]]","[[3, 5, 2], [1, 0, 4], [6, 7, 8]]"
23,"[[1, 3, 2], [6, 5, 0], [7, 8, 4]]","[[1, 3, 0], [6, 5, 2], [7, 8, 4]]"
24,"[[1, 3, 2], [6, 5, 0], [7, 8, 4]]","[[1, 3, 2], [6, 0, 5], [7, 8, 4]]"
25,"[[1, 3, 0], [5, 4, 2], [6, 7, 8]]","[[1, 0, 3], [5, 4, 2], [6, 7, 8]]"
26,"[[1, 3, 2], [0, 6, 4], [7, 5, 8]]","[[0, 3, 2], [1, 6, 4], [7, 5, 8]]"
27,"[[1, 3, 2], [6, 4, 0], [7, 5, 8]]","[[1, 3, 0], [6, 4, 2], [7, 5, 8]]"
28,"[[1, 3, 2], [6, 4, 0], [7, 5, 8]]","[[1, 3, 2], [6, 4, 8], [7, 5, 0]]"
