,previous_state,current_state
29,"[[1, 3, 2], [0, 6, 4], [7, 5, 8]]","[[1, 3, 2], [7, 6, 4], [0, 5, 8]]"
30,"[[1, 3, 2], [5, 4, 8], [6, 7, 0]]","[[1, 3, 2], [5, 4, 8], [6, 0, 7]]"
31,"[[1, 0, 2], [6, 3, 4], [7, 5, 8]]","[[1, 2, 0], [6, 3, 4], [7, 5, 8]]"
32,"[[1, 2, 0], [5, 3, 4], [6, 7, 8]]","[[1, 2, 4], [5, 3, 0], [6, 7, 8]]"
33,"[[1, 3, 2], [5, 7, 4], [0, 6, 8]]","[[1, 3, 2], [0, 7, 4], [5, 6, 8]]"
34,"[[1, 3, 2], [5, 7, 4], [6, 8, 0]]","[[1, 3, 2], [5, 7, 0], [6, 8, 4]]"
35,"[[3, 2, 0], [1, 5, 4], [6, 7, 8]]","[[3, 2, 4], [1, 5, 0], [6, 7, 8]]"
36,"[[1, 0, 2], [6, 3, 4], [7, 5, 8]]","[[0, 1, 2], [6, 3, 4], [7, 5, 8]]"
37,"[[3, 5, 2], [1, 0, 4], [6, 7, 8]]","[[3, 5, 2], [1, 4, 0], [6, 7, 8]]"
38,"[[1, 3, 0], [6, 5, 2], [7, 8, 4]]","[[1, 0, 3], [6, 5, 2], [7, 8, 4]]"
39,"[[1, 3, 2], [6, 0, 5], [7, 8, 4]]","[[1, 3, 2], [0, 6, 5], [7, 8, 4]]"
40,"[[3, 5, 2], [1, 0, 4], [6, 7, 8]]","[[3, 5, 2], [0, 1, 4], [6, 7, 8]]"
41,"[[3, 5, 2], [1, 0, 4], [6, 7, 8]]","[[3, 5, 2], [1, 7, 4], [6, 0, 8]]"
42,"[[0, 1, 2], [5, 3, 4], [6, 7, 8]]","[[5, 1, 2], [0, 3, 4], [6, 7, 8]]"
43,"[[1, 3, 2], [6, 0, 5], [7, 8, 4]]","[[1, 0, 2], [6, 3, 5], [7, 8, 4]]"
44,"[[1, 3, 0], [6, 4, 2], [7, 5, 8]]","[[1, 0, 3], [6, 4, 2], [7, 5, 8]]"
45,"[[1, 3, 2], [6, 0, 5], [7, 8, 4]]","[[1, 3, 2], [6, 8, 5], [7, 0, 4]]"
46,"[[1, 0, 3], [5, 4, 2], [6, 7, 8]]","[[0, 1, 3], [5, 4, 2], [6, 7, 8]]"
47,"[[1, 3, 2], [6, 4, 8], [7, 5, 0]]","[[1, 3, 2], [6, 4, 8], [7, 0, 5]]"
48,"[[1, 3, 2], [7, 6, 4], [0, 5, 8]]","[[1, 3, 2], [7, 6, 4], [5, 0, 8]]"
49,"[[1, 0, 3], [5, 4, 2], [6, 7, 8]]","[[1, 4, 3], [5, 0, 2], [6, 7, 8]]"
50,"[[0, 3, 2], [1, 6, 4], [7, 5, 8]]","[[3, 0, 2], [1, 6, 4], [7, 5, 8]]"
51,"[[1, 2, 0], [6, 3, 4], [7, 5, 8]]","[[1, 2, 4], [6, 3, 0], [7, 5, 8]]"
52,"[[1, 3, 2], [5, 4, 8], [6, 0, 7]]","[[1, 3, 2], [5, 4, 8], [0, 6, 7]]"
53,"[[1, 2, 4], [5, 3, 0], [6, 7, 8]]","[[1, 2, 4], [5, 0, 3], [6, 7, 8]]"
54,"[[1, 3, 2], [5, 4, 8], [6, 0, 7]]","[[1, 3, 2], [5, 0, 8], [6, 4, 7]]"
55,"[[1, 3, 2], [0, 7, 4], [5, 6, 8]]","[[1, 3, 2], [7, 0, 4], [5, 6, 8]]"
56,"[[1, 0, 3], [6, 5, 2], [7, 8, 4]]","[[0, 1, 3], [6, 5, 2], [7, 8, 4]]"
57,"[[1, 3, 2], [0, 6, 5], [7, 8, 4]]","[[0, 3, 2], [1, 6, 5], [7, 8, 4]]"
58,"[[1, 3, 2], [0, 6, 5], [7, 8, 4]]","[[1, 3, 2], [7, 6, 5], [0, 8, 4]]"
59,"[[1, 0, 3], [6, 5, 2], [7, 8, 4]]","[[1, 5, 3], [6, 0, 2], [7, 8, 4]]"
60,"[[1, 3, 2], [0, 7, 4], [5, 6, 8]]","[[0, 3, 2], [1, 7, 4], [5, 6, 8]]"
61,"[[1, 2, 4], [5, 3, 0], [6, 7, 8]]","[[1, 2, 4], [5, 3, 8], [6, 7, 0]]"
62,"[[1, 3, 2], [5, 7, 0], [6, 8, 4]]","[[1, 3, 0], [5, 7, 2], [6, 8, 4]]"
63,"[[1, 3, 2], [5, 7, 0], [6, 8, 4]]","[[1, 3, 2], [5, 0, 7], [6, 8, 4]]"
64,"[[3, 2, 4], [1, 5, 0], [6, 7, 8]]","[[3, 2, 4], [1, 0, 5], [6, 7, 8]]"
65,"[[3, 2, 4], [1, 5, 0], [6, 7, 8]]","[[3, 2, 4], [1, 5, 8], [6, 7, 0]]"
66,"[[0, 1, 2], [6, 3, 4], [7, 5, 8]]","[[6, 1, 2], [0, 3, 4], [7, 5, 8]]"
67,"[[1, 0, 3], [6, 4, 2], [7, 5, 8]]","[[0, 1, 3], [6, 4, 2], [7, 5, 8]]"
68,"[[1, 0, 2], [6, 3, 5], [7, 8, 4]]","[[1, 2, 0], [6, 3, 5], [7, 8, 4]]"
69,"[[1, 3, 2], [6, 8, 5], [7, 0, 4]]","[[1, 3, 2], [6, 8, 5], [7, 4, 0]]"
70,"[[1, 0, 3], [6, 4, 2], [7, 5, 8]]","[[1, 4, 3], [6, 0, 2], [7, 5, 8]]"
71,"[[3, 5, 2], [1, 4, 0], [6, 7, 8]]","[[3, 5, 0], [1, 4, 2], [6, 7, 8]]"
72,"[[3, 5, 2], [1, 4, 0], [6, 7, 8]]","[[3, 5, 2], [1, 4, 8], [6, 7, 0]]"
73,"[[1, 0, 2], [6, 3, 5], [7, 8, 4]]","[[0, 1, 2], [6, 3, 5], [7, 8, 4]]"
74,"[[1, 3, 2], [6, 8, 5], [7, 0, 4]]","[[1, 3, 2], [6, 8, 5], [0, 7, 4]]"
75,"[[1, 3, 2], [7, 6, 4], [5, 0, 8]]","[[1, 3, 2], [7, 6, 4], [5, 8, 0]]"
76,"[[3, 0, 2], [1, 6, 4], [7, 5, 8]]","[[3, 2, 0], [1, 6, 4], [7, 5, 8]]"
77,"[[1, 4, 3], [5, 0, 2], [6, 7, 8]]","[[1, 4, 3], [0, 5, 2], [6, 7, 8]]"
78,"[[1, 4, 3], [5, 0, 2], [6, 7, 8]]","[[1, 4, 3], [5, 2, 0], [6, 7, 8]]"
79,"[[3, 5, 2], [1, 7, 4], [6, 0, 8]]","[[3, 5, 2], [1, 7, 4], [0, 6, 8]]"
80,"[[3, 5, 2], [1, 7, 4], [6, 0, 8]]","[[3, 5, 2], [1, 7, 4], [6, 8, 0]]"
81,"[[3, 5, 2], [0, 1, 4], [6, 7, 8]]","[[3, 5, 2], [6, 1, 4], [0, 7, 8]]"
82,"[[5, 1, 2], [0, 3, 4], [6, 7, 8]]","[[5, 1, 2], [6, 3, 4], [0, 7, 8]]"
83,"[[1, 2, 4], [6, 3, 0], [7, 5, 8]]","[[1, 2, 4], [6, 0, 3], [7, 5, 8]]"
84,"[[1, 3, 2], [6, 4, 8], [7, 0, 5]]","[[1, 3, 2], [6, 0, 8], [7, 4, 5]]"
85,"[[1, 3, 2], [6, 4, 8], [7, 0, 5]]","[[1, 3, 2], [6, 4, 8], [0, 7, 5]]"
86,"[[3, 0, 2], [1, 6, 4], [7, 5, 8]]","[[3, 6, 2], [1, 0, 4], [7, 5, 8]]"
87,"[[3, 5, 2], [0, 1, 4], [6, 7, 8]]","[[0, 5, 2], [3, 1, 4], [6, 7, 8]]"
88,"[[1, 4, 3], [5, 0, 2], [6, 7, 8]]","[[1, 4, 3], [5, 7, 2], [6, 0, 8]]"
89,"[[5, 1, 2], [0, 3, 4], [6, 7, 8]]","[[5, 1, 2], [3, 0, 4], [6, 7, 8]]"
90,"[[0, 1, 3], [5, 4, 2], [6, 7, 8]]","[[5, 1, 3], [0, 4, 2], [6, 7, 8]]"
91,"[[1, 2, 4], [6, 3, 0], [7, 5, 8]]","[[1, 2, 4], [6, 3, 8], [7, 5, 0]]"
92,"[[1, 5, 3], [6, 0, 2], [7, 8, 4]]","[[1, 5, 3], [0, 6, 2], [7, 8, 4]]"
93,"[[1, 5, 3], [6, 0, 2], [7, 8, 4]]","[[1, 5, 3], [6, 2, 0], [7, 8, 4]]"
94,"[[1, 2, 4], [5, 0, 3], [6, 7, 8]]","[[1, 2, 4], [0, 5, 3], [6, 7, 8]]"
95,"[[1, 3, 2], [5, 4, 8], [0, 6, 7]]","[[1, 3, 2], [0, 4, 8], [5, 6, 7]]"
96,"[[1, 3, 2], [7, 0, 4], [5, 6, 8]]","[[1, 3, 2], [7, 4, 0], [5, 6, 8]]"
97,"[[1, 3, 2], [7, 6, 5], [0, 8, 4]]","[[1, 3, 2], [7, 6, 5], [8, 0, 4]]"
98,"[[1, 4, 3], [6, 0, 2], [7, 5, 8]]","[[1, 4, 3], [0, 6, 2], [7, 5, 8]]"
99,"[[1, 4, 3], [6, 0, 2], [7, 5, 8]]","[[1, 4, 3], [6, 2, 0], [7, 5, 8]]"
100,"[[1, 4, 3], [6, 0, 2], [7, 5, 8]]","[[1, 4, 3], [6, 5, 2], [7, 0, 8]]"
101,"[[1, 5, 3], [6, 0, 2], [7, 8, 4]]","[[1, 5, 3], [6, 8, 2], [7, 0, 4]]"
102,"[[0, 3, 2], [1, 6, 5], [7, 8, 4]]","[[3, 0, 2], [1, 6, 5], [7, 8, 4]]"
103,"[[0, 1, 3], [6, 5, 2], [7, 8, 4]]","[[6, 1, 3], [0, 5, 2], [7, 8, 4]]"
104,"[[1, 3, 2], [7, 0, 4], [5, 6, 8]]","[[1, 0, 2], [7, 3, 4], [5, 6, 8]]"
105,"[[1, 2, 4], [5, 0, 3], [6, 7, 8]]","[[1, 0, 4], [5, 2, 3], [6, 7, 8]]"
106,"[[1, 2, 4], [5, 0, 3], [6, 7, 8]]","[[1, 2, 4], [5, 7, 3], [6, 0, 8]]"
107,"[[1, 3, 2], [5, 0, 8], [6, 4, 7]]","[[1, 3, 2], [0, 5, 8], [6, 4, 7]]"
108,"[[1, 3, 2], [5, 0, 8], [6, 4, 7]]","[[1, 3, 2], [5, 8, 0], [6, 4, 7]]"
109,"[[1, 2, 0], [6, 3, 5], [7, 8, 4]]","[[1, 2, 5], [6, 3, 0], [7, 8, 4]]"
110,"[[1, 3, 2], [6, 8, 5], [7, 4, 0]]","[[1, 3, 2], [6, 8, 0], [7, 4, 5]]"
111,"[[0, 1, 3], [6, 4, 2], [7, 5, 8]]","[[6, 1, 3], [0, 4, 2], [7, 5, 8]]"
112,"[[1, 3, 2], [5, 0, 8], [6, 4, 7]]","[[1, 0, 2], [5, 3, 8], [6, 4, 7]]"
113,"[[1, 3, 0], [5, 7, 2], [6, 8, 4]]","[[1, 0, 3], [5, 7, 2], [6, 8, 4]]"
114,"[[1, 3, 2], [5, 0, 7], [6, 8, 4]]","[[1, 3, 2], [0, 5, 7], [6, 8, 4]]"
115,"[[1, 2, 4], [6, 0, 3], [7, 5, 8]]","[[1, 2, 4], [0, 6, 3], [7, 5, 8]]"
116,"[[1, 2, 4], [6, 0, 3], [7, 5, 8]]","[[1, 2, 4], [6, 5, 3], [7, 0, 8]]"
117,"[[1, 3, 2], [7, 6, 4], [5, 8, 0]]","[[1, 3, 2], [7, 6, 0], [5, 8, 4]]"
118,"[[1, 4, 3], [0, 5, 2], [6, 7, 8]]","[[1, 4, 3], [6, 5, 2], [0, 7, 8]]"
119,"[[3, 2, 0], [1, 6, 4], [7, 5, 8]]","[[3, 2, 4], [1, 6, 0], [7, 5, 8]]"
120,"[[6, 1, 2], [0, 3, 4], [7, 5, 8]]","[[6, 1, 2], [3, 0, 4], [7, 5, 8]]"
121,"[[6, 1, 2], [0, 3, 4], [7, 5, 8]]","[[6, 1, 2], [7, 3, 4], [0, 5, 8]]"
122,"[[1, 3, 2], [5, 0, 7], [6, 8, 4]]","[[1, 0, 2], [5, 3, 7], [6, 8, 4]]"
123,"[[1, 2, 4], [5, 3, 8], [6, 7, 0]]","[[1, 2, 4], [5, 3, 8], [6, 0, 7]]"
124,"[[1, 3, 2], [5, 0, 7], [6, 8, 4]]","[[1, 3, 2], [5, 8, 7], [6, 0, 4]]"
125,"[[1, 5, 3], [6, 2, 0], [7, 8, 4]]","[[1, 5, 3], [6, 2, 4], [7, 8, 0]]"
126,"[[0, 3, 2], [1, 7, 4], [5, 6, 8]]","[[3, 0, 2], [1, 7, 4], [5, 6, 8]]"
127,"[[3, 2, 4], [1, 0, 5], [6, 7, 8]]","[[3, 0, 4], [1, 2, 5], [6, 7, 8]]"
128,"[[3, 2, 4], [1, 0, 5], [6, 7, 8]]","[[3, 2, 4], [0, 1, 5], [6, 7, 8]]"
129,"[[3, 2, 4], [1, 5, 8], [6, 7, 0]]","[[3, 2, 4], [1, 5, 8], [6, 0, 7]]"
130,"[[3, 2, 4], [1, 0, 5], [6, 7, 8]]","[[3, 2, 4], [1, 7, 5], [6, 0, 8]]"
131,"[[1, 4, 3], [0, 5, 2], [6, 7, 8]]","[[0, 4, 3], [1, 5, 2], [6, 7, 8]]"
132,"[[1, 2, 4], [6, 0, 3], [7, 5, 8]]","[[1, 0, 4], [6, 2, 3], [7, 5, 8]]"
133,"[[1, 3, 2], [6, 0, 8], [7, 4, 5]]","[[1, 3, 2], [0, 6, 8], [7, 4, 5]]"
134,"[[1, 3, 2], [6, 8, 5], [0, 7, 4]]","[[1, 3, 2], [0, 8, 5], [6, 7, 4]]"
135,"[[1, 4, 3], [5, 2, 0], [6, 7, 8]]","[[1, 4, 0], [5, 2, 3], [6, 7, 8]]"
136,"[[1, 4, 3], [5, 2, 0], [6, 7, 8]]","[[1, 4, 3], [5, 2, 8], [6, 7, 0]]"
137,"[[3, 6, 2], [1, 0, 4], [7, 5, 8]]","[[3, 6, 2], [1, 4, 0], [7, 5, 8]]"
138,"[[3, 6, 2], [1, 0, 4], [7, 5, 8]]","[[3, 6, 2], [1, 5, 4], [7, 0, 8]]"
139,"[[0, 1, 2], [6, 3, 5], [7, 8, 4]]","[[6, 1, 2], [0, 3, 5], [7, 8, 4]]"
140,"[[1, 5, 3], [0, 6, 2], [7, 8, 4]]","[[0, 5, 3], [1, 6, 2], [7, 8, 4]]"
141,"[[1, 4, 3], [6, 5, 2], [7, 0, 8]]","[[1, 4, 3], [6, 5, 2], [7, 8, 0]]"
142,"[[1, 5, 3], [6, 2, 0], [7, 8, 4]]","[[1, 5, 0], [6, 2, 3], [7, 8, 4]]"
143,"[[1, 5, 3], [0, 6, 2], [7, 8, 4]]","[[1, 5, 3], [7, 6, 2], [0, 8, 4]]"
144,"[[3, 5, 0], [1, 4, 2], [6, 7, 8]]","[[3, 0, 5], [1, 4, 2], [6, 7, 8]]"
145,"[[3, 5, 2], [1, 4, 8], [6, 7, 0]]","[[3, 5, 2], [1, 4, 8], [6, 0, 7]]"
146,"[[3, 5, 2], [6, 1, 4], [0, 7, 8]]","[[3, 5, 2], [6, 1, 4], [7, 0, 8]]"
147,"[[5, 1, 2], [6, 3, 4], [0, 7, 8]]","[[5, 1, 2], [6, 3, 4], [7, 0, 8]]"
148,"[[1, 3, 2], [6, 0, 8], [7, 4, 5]]","[[1, 0, 2], [6, 3, 8], [7, 4, 5]]"
149,"[[1, 2, 4], [0, 5, 3], [6, 7, 8]]","[[1, 2, 4], [6, 5, 3], [0, 7, 8]]"
150,"[[1, 3, 2], [6, 4, 8], [0, 7, 5]]","[[1, 3, 2], [0, 4, 8], [6, 7, 5]]"
151,"[[1, 4, 3], [5, 7, 2], [6, 0, 8]]","[[1, 4, 3], [5, 7, 2], [0, 6, 8]]"
152,"[[1, 4, 3], [5, 7, 2], [6, 0, 8]]","[[1, 4, 3], [5, 7, 2], [6, 8, 0]]"
153,"[[3, 6, 2], [1, 0, 4], [7, 5, 8]]","[[3, 6, 2], [0, 1, 4], [7, 5, 8]]"
154,"[[5, 1, 3], [0, 4, 2], [6, 7, 8]]","[[5, 1, 3], [4, 0, 2], [6, 7, 8]]"
155,"[[5, 1, 3], [0, 4, 2], [6, 7, 8]]","[[5, 1, 3], [6, 4, 2], [0, 7, 8]]"
156,"[[1, 4, 3], [0, 6, 2], [7, 5, 8]]","[[0, 4, 3], [1, 6, 2], [7, 5, 8]]"
157,"[[1, 3, 2], [7, 6, 5], [8, 0, 4]]","[[1, 3, 2], [7, 6, 5], [8, 4, 0]]"
158,"[[1, 4, 3], [6, 2, 0], [7, 5, 8]]","[[1, 4, 0], [6, 2, 3], [7, 5, 8]]"
159,"[[1, 4, 3], [6, 2, 0], [7, 5, 8]]","[[1, 4, 3], [6, 2, 8], [7, 5, 0]]"
160,"[[1, 4, 3], [0, 6, 2], [7, 5, 8]]","[[1, 4, 3], [7, 6, 2], [0, 5, 8]]"
161,"[[1, 5, 3], [6, 8, 2], [7, 0, 4]]","[[1, 5, 3], [6, 8, 2], [7, 4, 0]]"
162,"[[3, 0, 2], [1, 6, 5], [7, 8, 4]]","[[3, 2, 0], [1, 6, 5], [7, 8, 4]]"
163,"[[3, 5, 2], [1, 7, 4], [0, 6, 8]]","[[3, 5, 2], [0, 7, 4], [1, 6, 8]]"
164,"[[3, 5, 2], [1, 7, 4], [6, 8, 0]]","[[3, 5, 2], [1, 7, 0], [6, 8, 4]]"
165,"[[1, 2, 4], [0, 5, 3], [6, 7, 8]]","[[0, 2, 4], [1, 5, 3], [6, 7, 8]]"
166,"[[1, 2, 4], [6, 3, 8], [7, 5, 0]]","[[1, 2, 4], [6, 3, 8], [7, 0, 5]]"
167,"[[1, 3, 2], [7, 4, 0], [5, 6, 8]]","[[1, 3, 0], [7, 4, 2], [5, 6, 8]]"
168,"[[1, 3, 2], [0, 4, 8], [5, 6, 7]]","[[1, 3, 2], [4, 0, 8], [5, 6, 7]]"
169,"[[1, 3, 2], [7, 4, 0], [5, 6, 8]]","[[1, 3, 2], [7, 4, 8], [5, 6, 0]]"
170,"[[1, 2, 4], [6, 5, 3], [7, 0, 8]]","[[1, 2, 4], [6, 5, 3], [7, 8, 0]]"
171,"[[1, 2, 5], [6, 3, 0], [7, 8, 4]]","[[1, 2, 5], [6, 0, 3], [7, 8, 4]]"
172,"[[1, 2, 5], [6, 3, 0], [7, 8, 4]]","[[1, 2, 5], [6, 3, 4], [7, 8, 0]]"
173,"[[1, 3, 2], [7, 6, 5], [8, 0, 4]]","[[1, 3, 2], [7, 0, 5], [8, 6, 4]]"
174,"[[1, 5, 3], [6, 8, 2], [7, 0, 4]]","[[1, 5, 3], [6, 8, 2], [0, 7, 4]]"
175,"[[3, 0, 2], [1, 6, 5], [7, 8, 4]]","[[3, 6, 2], [1, 0, 5], [7, 8, 4]]"
176,"[[5, 1, 2], [3, 0, 4], [6, 7, 8]]","[[5, 1, 2], [3, 4, 0], [6, 7, 8]]"
177,"[[6, 1, 3], [0, 4, 2], [7, 5, 8]]","[[6, 1, 3], [4, 0, 2], [7, 5, 8]]"
178,"[[6, 1, 3], [0, 5, 2], [7, 8, 4]]","[[6, 1, 3], [5, 0, 2], [7, 8, 4]]"
179,"[[6, 1, 3], [0, 5, 2], [7, 8, 4]]","[[6, 1, 3], [7, 5, 2], [0, 8, 4]]"
180,"[[1, 3, 2], [0, 4, 8], [5, 6, 7]]","[[0, 3, 2], [1, 4, 8], [5, 6, 7]]"
181,"[[1, 0, 2], [7, 3, 4], [5, 6, 8]]","[[1, 2, 0], [7, 3, 4], [5, 6, 8]]"
182,"[[1, 2, 4], [5, 7, 3], [6, 0, 8]]","[[1, 2, 4], [5, 7, 3], [0, 6, 8]]"
183,"[[1, 2, 4], [5, 7, 3], [6, 0, 8]]","[[1, 2, 4], [5, 7, 3], [6, 8, 0]]"
184,"[[1, 3, 2], [0, 5, 8], [6, 4, 7]]","[[1, 3, 2], [6, 5, 8], [0, 4, 7]]"
185,"[[1, 2, 4], [0, 6, 3], [7, 5, 8]]","[[0, 2, 4], [1, 6, 3], [7, 5, 8]]"
186,"[[1, 2, 4], [0, 6, 3], [7, 5, 8]]","[[1, 2, 4], [7, 6, 3], [0, 5, 8]]"
187,"[[1, 3, 2], [6, 8, 0], [7, 4, 5]]","[[1, 3, 0], [6, 8, 2], [7, 4, 5]]"
188,"[[1, 3, 2], [7, 6, 0], [5, 8, 4]]","[[1, 3, 2], [7, 0, 6], [5, 8, 4]]"
189,"[[1, 5, 3], [6, 2, 4], [7, 8, 0]]","[[1, 5, 3], [6, 2, 4], [7, 0, 8]]"
190,"[[3, 2, 4], [1, 6, 0], [7, 5, 8]]","[[3, 2, 4], [1, 0, 6], [7, 5, 8]]"
191,"[[0, 5, 2], [3, 1, 4], [6, 7, 8]]","[[5, 0, 2], [3, 1, 4], [6, 7, 8]]"
192,"[[5, 1, 2], [3, 0, 4], [6, 7, 8]]","[[5, 1, 2], [3, 7, 4], [6, 0, 8]]"
193,"[[6, 1, 3], [0, 4, 2], [7, 5, 8]]","[[6, 1, 3], [7, 4, 2], [0, 5, 8]]"
194,"[[1, 0, 2], [7, 3, 4], [5, 6, 8]]","[[0, 1, 2], [7, 3, 4], [5, 6, 8]]"
195,"[[1, 0, 4], [5, 2, 3], [6, 7, 8]]","[[0, 1, 4], [5, 2, 3], [6, 7, 8]]"
196,"[[1, 3, 2], [0, 5, 8], [6, 4, 7]]","[[0, 3, 2], [1, 5, 8], [6, 4, 7]]"
197,"[[1, 3, 2], [5, 8, 0], [6, 4, 7]]","[[1, 3, 0], [5, 8, 2], [6, 4, 7]]"
198,"[[1, 3, 2], [5, 8, 0], [6, 4, 7]]","[[1, 3, 2], [5, 8, 7], [6, 4, 0]]"
199,"[[1, 3, 2], [0, 5, 7], [6, 8, 4]]","[[1, 3, 2], [6, 5, 7], [0, 8, 4]]"
200,"[[1, 3, 2], [7, 6, 0], [5, 8, 4]]","[[1, 3, 0], [7, 6, 2], [5, 8, 4]]"
201,"[[1, 4, 3], [6, 5, 2], [7, 8, 0]]","[[1, 4, 3], [6, 5, 0], [7, 8, 2]]"
202,"[[3, 2, 4], [1, 6, 0], [7, 5, 8]]","[[3, 2, 4], [1, 6, 8], [7, 5, 0]]"
203,"[[3, 6, 2], [1, 5, 4], [7, 0, 8]]","[[3, 6, 2], [1, 5, 4], [7, 8, 0]]"
204,"[[1, 0, 3], [5, 7, 2], [6, 8, 4]]","[[0, 1, 3], [5, 7, 2], [6, 8, 4]]"
205,"[[1, 3, 2], [0, 5, 7], [6, 8, 4]]","[[0, 3, 2], [1, 5, 7], [6, 8, 4]]"
206,"[[1, 0, 2], [5, 3, 8], [6, 4, 7]]","[[1, 2, 0], [5, 3, 8], [6, 4, 7]]"
207,"[[1, 0, 3], [5, 7, 2], [6, 8, 4]]","[[1, 7, 3], [5, 0, 2], [6, 8, 4]]"
208,"[[0, 4, 3], [1, 5, 2], [6, 7, 8]]","[[4, 0, 3], [1, 5, 2], [6, 7, 8]]"
209,"[[6, 1, 2], [3, 0, 4], [7, 5, 8]]","[[6, 1, 2], [3, 4, 0], [7, 5, 8]]"
210,"[[6, 1, 2], [3, 0, 4], [7, 5, 8]]","[[6, 1, 2], [3, 5, 4], [7, 0, 8]]"
211,"[[1, 0, 4], [6, 2, 3], [7, 5, 8]]","[[0, 1, 4], [6, 2, 3], [7, 5, 8]]"
212,"[[1, 3, 2], [0, 6, 8], [7, 4, 5]]","[[0, 3, 2], [1, 6, 8], [7, 4, 5]]"
213,"[[1, 5, 0], [6, 2, 3], [7, 8, 4]]","[[1, 0, 5], [6, 2, 3], [7, 8, 4]]"
214,"[[1, 3, 2], [0, 6, 8], [7, 4, 5]]","[[1, 3, 2], [7, 6, 8], [0, 4, 5]]"
215,"[[1, 5, 3], [7, 6, 2], [0, 8, 4]]","[[1, 5, 3], [7, 6, 2], [8, 0, 4]]"
216,"[[3, 6, 2], [1, 4, 0], [7, 5, 8]]","[[3, 6, 0], [1, 4, 2], [7, 5, 8]]"
217,"[[3, 6, 2], [1, 4, 0], [7, 5, 8]]","[[3, 6, 2], [1, 4, 8], [7, 5, 0]]"
218,"[[3, 6, 2], [1, 5, 4], [7, 0, 8]]","[[3, 6, 2], [1, 5, 4], [0, 7, 8]]"
