,previous_state,current_state
1,"[[7, 6, 1], [2, 8, 3], [4, 5, 0]]","[[7, 6, 1], [2, 8, 0], [4, 5, 3]]"
2,"[[7, 6, 1], [2, 8, 3], [4, 5, 0]]","[[7, 6, 1], [2, 8, 3], [4, 0, 5]]"
3,"[[7, 6, 1], [2, 8, 3], [4, 0, 5]]","[[7, 6, 1], [2, 0, 3], [4, 8, 5]]"
4,"[[7, 6, 1], [2, 8, 0], [4, 5, 3]]","[[7, 6, 0], [2, 8, 1], [4, 5, 3]]"
5,"[[7, 6, 1], [2, 8, 0], [4, 5, 3]]","[[7, 6, 1], [2, 0, 8], [4, 5, 3]]"
6,"[[7, 6, 1], [2, 8, 3], [4, 0, 5]]","[[7, 6, 1], [2, 8, 3], [0, 4, 5]]"
7,"[[7, 6, 1], [2, 0, 3], [4, 8, 5]]","[[7, 0, 1], [2, 6, 3], [4, 8, 5]]"
8,"[[7, 6, 1], [2, 0, 3], [4, 8, 5]]","[[7, 6, 1], [0, 2, 3], [4, 8, 5]]"
9,"[[7, 6, 1], [2, 0, 3], [4, 8, 5]]","[[7, 6, 1], [2, 3, 0], [4, 8, 5]]"
10,"[[7, 6, 1], [2, 0, 8], [4, 5, 3]]","[[7, 0, 1], [2, 6, 8], [4, 5, 3]]"
11,"[[7, 6, 0], [2, 8, 1], [4, 5, 3]]","[[7, 0, 6], [2, 8, 1], [4, 5, 3]]"
12,"[[7, 6, 1], [2, 0, 8], [4, 5, 3]]","[[7, 6, 1], [0, 2, 8], [4, 5, 3]]"
13,"[[7, 6, 1], [2, 0, 8], [4, 5, 3]]","[[7, 6, 1], [2, 5, 8], [4, 0, 3]]"
14,"[[7, 6, 1], [2, 8, 3], [0, 4, 5]]","[[7, 6, 1], [0, 8, 3], [2, 4, 5]]"
15,"[[7, 6, 1], [0, 2, 3], [4, 8, 5]]","[[0, 6, 1], [7, 2, 3], [4, 8, 5]]"
16,"[[7, 0, 1], [2, 6, 3], [4, 8, 5]]","[[7, 1, 0], [2, 6, 3], [4, 8, 5]]"
17,"[[7, 6, 1], [0, 2, 3], [4, 8, 5]]","[[7, 6, 1], [4, 2, 3], [0, 8, 5]]"
18,"[[7, 0, 1], [2, 6, 3], [4, 8, 5]]","[[0, 7, 1], [2, 6, 3], [4, 8, 5]]"
19,"[[7, 6, 1], [2, 3, 0], [4, 8, 5]]","[[7, 6, 1], [2, 3, 5], [4, 8, 0]]"
20,"[[7, 6, 1], [0, 2, 8], [4, 5, 3]]","[[0, 6, 1], [7, 2, 8], [4, 5, 3]]"
21,"[[7, 0, 1], [2, 6, 8], [4, 5, 3]]","[[7, 1, 0], [2, 6, 8], [4, 5, 3]]"
22,"[[7, 6, 1], [2, 3, 0], [4, 8, 5]]","[[7, 6, 0], [2, 3, 1], [4, 8, 5]]"
23,"[[7, 6, 1], [0, 2, 8], [4, 5, 3]]","[[7, 6, 1], [4, 2, 8], [0, 5, 3]]"
24,"[[7, 0, 1], [2, 6, 8], [4, 5, 3]]","[[0, 7, 1], [2, 6, 8], [4, 5, 3]]"
25,"[[7, 0, 6], [2, 8, 1], [4, 5, 3]]","[[0, 7, 6], [2, 8, 1], [4, 5, 3]]"
26,"[[7, 6, 1], [2, 5, 8], [4, 0, 3]]","[[7, 6, 1], [2, 5, 8], [0, 4, 3]]"
27,"[[7, 6, 1], [2, 5, 8], [4, 0, 3]]","[[7, 6, 1], [2, 5, 8], [4, 3, 0]]"
28,"[[7, 0, 6], [2, 8, 1], [4, 5, 3]]","[[7, 8, 6], [2, 0, 1], [4, 5, 3]]"
29,"[[7, 6, 1], [0, 8, 3], [2, 4, 5]]","[[0, 6, 1], [7, 8, 3], [2, 4, 5]]"
30,"[[7, 1, 0], [2, 6, 3], [4, 8, 5]]","[[7, 1, 3], [2, 6, 0], [4, 8, 5]]"
31,"[[0, 6, 1], [7, 2, 3], [4, 8, 5]]","[[6, 0, 1], [7, 2, 3], [4, 8, 5]]"
32,"[[7, 6, 1], [4, 2, 3], [0, 8, 5]]","[[7, 6, 1], [4, 2, 3], [8, 0, 5]]"
