,previous_state,current_state
52,"[[3, 6, 7], [0, 2, 4], [1, 5, 8]]","[[0, 6, 7], [3, 2, 4], [1, 5, 8]]"
53,"[[2, 3, 6], [5, 0, 7], [1, 8, 4]]","[[2, 0, 6], [5, 3, 7], [1, 8, 4]]"
54,"[[2, 3, 6], [5, 0, 7], [1, 8, 4]]","[[2, 3, 6], [5, 8, 7], [1, 0, 4]]"
55,"[[3, 6, 7], [1, 2, 5], [8, 0, 4]]","[[3, 6, 7], [1, 0, 5], [8, 2, 4]]"
56,"[[3, 6, 7], [2, 4, 0], [1, 5, 8]]","[[3, 6, 7], [2, 4, 8], [1, 5, 0]]"
57,"[[3, 6, 7], [0, 5, 4], [2, 1, 8]]","[[0, 6, 7], [3, 5, 4], [2, 1, 8]]"
58,"[[3, 5, 0], [2, 7, 6], [1, 8, 4]]","[[3, 0, 5], [2, 7, 6], [1, 8, 4]]"
59,"[[3, 5, 6], [1, 2, 7], [0, 8, 4]]","[[3, 5, 6], [1, 2, 7], [8, 0, 4]]"
60,"[[3, 5, 6], [2, 7, 4], [1, 8, 0]]","[[3, 5, 6], [2, 7, 4], [1, 0, 8]]"
61,"[[3, 6, 7], [0, 5, 4], [2, 1, 8]]","[[3, 6, 7], [5, 0, 4], [2, 1, 8]]"
62,"[[6, 0, 7], [3, 2, 5], [1, 8, 4]]","[[6, 2, 7], [3, 0, 5], [1, 8, 4]]"
63,"[[6, 0, 7], [3, 2, 5], [1, 8, 4]]","[[6, 7, 0], [3, 2, 5], [1, 8, 4]]"
64,"[[3, 6, 7], [2, 8, 0], [1, 4, 5]]","[[3, 6, 0], [2, 8, 7], [1, 4, 5]]"
65,"[[2, 3, 6], [1, 5, 7], [8, 0, 4]]","[[2, 3, 6], [1, 5, 7], [8, 4, 0]]"
66,"[[2, 3, 7], [1, 6, 5], [0, 8, 4]]","[[2, 3, 7], [1, 6, 5], [8, 0, 4]]"
67,"[[3, 5, 6], [2, 8, 7], [1, 4, 0]]","[[3, 5, 6], [2, 8, 0], [1, 4, 7]]"
68,"[[3, 6, 7], [2, 8, 0], [1, 4, 5]]","[[3, 6, 7], [2, 0, 8], [1, 4, 5]]"
69,"[[0, 5, 6], [3, 2, 7], [1, 8, 4]]","[[5, 0, 6], [3, 2, 7], [1, 8, 4]]"
70,"[[2, 3, 6], [5, 7, 0], [1, 8, 4]]","[[2, 3, 0], [5, 7, 6], [1, 8, 4]]"
71,"[[2, 3, 6], [1, 5, 7], [8, 0, 4]]","[[2, 3, 6], [1, 0, 7], [8, 5, 4]]"
72,"[[2, 3, 6], [5, 7, 0], [1, 8, 4]]","[[2, 3, 6], [5, 7, 4], [1, 8, 0]]"
73,"[[2, 3, 7], [6, 0, 5], [1, 8, 4]]","[[2, 3, 7], [6, 5, 0], [1, 8, 4]]"
74,"[[2, 3, 7], [6, 0, 5], [1, 8, 4]]","[[2, 0, 7], [6, 3, 5], [1, 8, 4]]"
75,"[[0, 3, 7], [2, 6, 4], [1, 5, 8]]","[[2, 3, 7], [0, 6, 4], [1, 5, 8]]"
76,"[[2, 3, 7], [6, 0, 5], [1, 8, 4]]","[[2, 3, 7], [6, 8, 5], [1, 0, 4]]"
77,"[[3, 6, 0], [2, 4, 7], [1, 5, 8]]","[[3, 0, 6], [2, 4, 7], [1, 5, 8]]"
78,"[[3, 7, 5], [2, 0, 6], [1, 8, 4]]","[[3, 7, 5], [0, 2, 6], [1, 8, 4]]"
79,"[[2, 0, 6], [5, 3, 7], [1, 8, 4]]","[[0, 2, 6], [5, 3, 7], [1, 8, 4]]"
80,"[[2, 3, 6], [5, 8, 7], [1, 0, 4]]","[[2, 3, 6], [5, 8, 7], [1, 4, 0]]"
81,"[[3, 6, 7], [0, 8, 5], [2, 1, 4]]","[[0, 6, 7], [3, 8, 5], [2, 1, 4]]"
82,"[[3, 5, 6], [2, 8, 7], [0, 1, 4]]","[[3, 5, 6], [0, 8, 7], [2, 1, 4]]"
83,"[[3, 6, 7], [1, 2, 5], [8, 4, 0]]","[[3, 6, 7], [1, 2, 0], [8, 4, 5]]"
84,"[[3, 6, 7], [1, 2, 4], [0, 5, 8]]","[[3, 6, 7], [1, 2, 4], [5, 0, 8]]"
85,"[[3, 6, 7], [0, 8, 5], [2, 1, 4]]","[[3, 6, 7], [8, 0, 5], [2, 1, 4]]"
86,"[[3, 7, 0], [2, 6, 4], [1, 5, 8]]","[[3, 7, 4], [2, 6, 0], [1, 5, 8]]"
87,"[[3, 7, 5], [2, 6, 4], [1, 8, 0]]","[[3, 7, 5], [2, 6, 4], [1, 0, 8]]"
88,"[[3, 7, 5], [2, 0, 6], [1, 8, 4]]","[[3, 7, 5], [2, 8, 6], [1, 0, 4]]"
89,"[[2, 3, 6], [5, 8, 7], [1, 0, 4]]","[[2, 3, 6], [5, 8, 7], [0, 1, 4]]"
90,"[[2, 0, 6], [5, 3, 7], [1, 8, 4]]","[[2, 6, 0], [5, 3, 7], [1, 8, 4]]"
91,"[[3, 6, 7], [1, 0, 5], [8, 2, 4]]","[[3, 0, 7], [1, 6, 5], [8, 2, 4]]"
92,"[[3, 6, 7], [1, 0, 5], [8, 2, 4]]","[[3, 6, 7], [1, 5, 0], [8, 2, 4]]"
93,"[[3, 0, 5], [2, 7, 6], [1, 8, 4]]","[[0, 3, 5], [2, 7, 6], [1, 8, 4]]"
94,"[[2, 3, 6], [1, 5, 7], [8, 4, 0]]","[[2, 3, 6], [1, 5, 0], [8, 4, 7]]"
95,"[[3, 5, 6], [1, 2, 7], [8, 0, 4]]","[[3, 5, 6], [1, 2, 7], [8, 4, 0]]"
